return_id,order_id,return_date,return_reason,refund_amount,restockable_flag
RET-900438,ORD-504189,2026-04-27,Damaged,342.63,1
RET-900439,ORD-504196,2026-04-26,Damaged,79.3,1
RET-900440,ORD-504207,2026-05-01,Late delivery,418.2,0
RET-900441,ORD-504208,2026-05-06,Damaged,74.42,0
RET-900442,ORD-504209,2026-05-09,Late delivery,118.66,0
RET-900443,ORD-504221,2026-05-01,Quality issue,340.24,1
RET-900444,ORD-504227,2026-04-30,Late delivery,686.12,1
RET-900445,ORD-504235,2026-05-02,Damaged,136.3,1
RET-900446,ORD-504245,2026-04-21,Quality issue,50.81,1
RET-900447,ORD-504247,2026-05-02,Late delivery,71.66,1
RET-900448,ORD-504250,2026-04-24,Late delivery,218.7,1
RET-900449,ORD-504263,2026-05-07,Quality issue,24.39,1
RET-900450,ORD-504277,2026-05-08,Changed mind,116.64,1
RET-900451,ORD-504306,2026-05-04,Wrong item,112.7,1
RET-900452,ORD-504323,2026-05-05,Quality issue,68.15,0
RET-900453,ORD-504329,2026-04-28,Late delivery,39.08,1
RET-900454,ORD-504330,2026-05-13,Quality issue,253.02,1
RET-900455,ORD-504344,2026-05-09,Changed mind,134.81,0
RET-900456,ORD-504346,2026-05-07,Changed mind,83.6,1
RET-900457,ORD-504350,2026-05-01,Quality issue,121.68,1
RET-900458,ORD-504357,2026-05-04,Changed mind,155.84,0
RET-900459,ORD-504361,2026-05-07,Damaged,79.11,0
RET-900460,ORD-504386,2026-05-02,Damaged,65.83,1
RET-900461,ORD-504392,2026-04-26,Damaged,124.0,1
RET-900462,ORD-504393,2026-04-28,Wrong item,185.23,1
RET-900463,ORD-504406,2026-05-13,Late delivery,456.84,1
RET-900464,ORD-504412,2026-05-04,Wrong item,123.55,1
RET-900465,ORD-504415,2026-05-01,Late delivery,421.3,1
RET-900466,ORD-504419,2026-05-20,Damaged,480.51,1
RET-900467,ORD-504438,2026-05-04,Damaged,179.1,1
RET-900468,ORD-504443,2026-05-10,Quality issue,71.13,1
RET-900469,ORD-504465,2026-05-11,Quality issue,114.53,0
RET-900470,ORD-504471,2026-04-30,Quality issue,112.2,1
RET-900471,ORD-504480,2026-05-06,Changed mind,57.49,1
RET-900472,ORD-504481,2026-05-16,Wrong item,600.85,1
RET-900473,ORD-504490,2026-05-09,Damaged,149.14,1
RET-900474,ORD-504492,2026-05-14,Quality issue,55.5,0
RET-900475,ORD-504498,2026-05-19,Damaged,94.09,1
RET-900476,ORD-504521,2026-05-09,Changed mind,166.23,1
RET-900477,ORD-504525,2026-05-06,Changed mind,92.05,0
RET-900478,ORD-504544,2026-05-01,Wrong item,174.11,1
RET-900479,ORD-504559,2026-05-16,Wrong item,135.9,1
RET-900480,ORD-504561,2026-05-05,Wrong item,105.79,1
RET-900481,ORD-504572,2026-05-19,Damaged,184.29,1
RET-900482,ORD-504573,2026-05-07,Changed mind,142.15,1
RET-900483,ORD-504581,2026-05-09,Wrong item,355.7,1
RET-900484,ORD-504590,2026-05-09,Wrong item,144.02,1
RET-900485,ORD-504601,2026-05-14,Changed mind,471.58,1
RET-900486,ORD-504605,2026-05-16,Damaged,173.77,0
RET-900487,ORD-504606,2026-05-10,Late delivery,96.09,1
RET-900488,ORD-504636,2026-05-16,Damaged,406.25,0
RET-900489,ORD-504639,2026-05-16,Quality issue,70.81,1
RET-900490,ORD-504650,2026-05-16,Damaged,439.69,1
RET-900491,ORD-504664,2026-05-11,Changed mind,57.83,1
RET-900492,ORD-504671,2026-05-06,Changed mind,595.93,1
RET-900493,ORD-504687,2026-05-06,Wrong item,207.55,1
RET-900494,ORD-504697,2026-05-06,Quality issue,236.2,0
RET-900495,ORD-504705,2026-05-03,Quality issue,165.99,0
RET-900496,ORD-504713,2026-05-20,Late delivery,283.13,1
RET-900497,ORD-504717,2026-05-20,Damaged,73.57,1
RET-900498,ORD-504719,2026-05-04,Quality issue,110.74,1
RET-900499,ORD-504722,2026-05-17,Wrong item,101.77,1
RET-900500,ORD-504729,2026-05-12,Wrong item,369.69,0
RET-900501,ORD-504730,2026-05-10,Damaged,93.29,0
RET-900502,ORD-504732,2026-05-04,Wrong item,108.24,1
RET-900503,ORD-504749,2026-05-15,Late delivery,84.85,1
RET-900504,ORD-504751,2026-05-21,Late delivery,149.68,1
RET-900505,ORD-504758,2026-05-05,Quality issue,127.4,1
RET-900506,ORD-504761,2026-05-17,Late delivery,217.17,1
RET-900507,ORD-504763,2026-05-19,Damaged,284.58,0
RET-900508,ORD-504770,2026-05-11,Wrong item,71.07,1
RET-900509,ORD-504773,2026-05-17,Wrong item,164.03,1
RET-900510,ORD-504792,2026-05-12,Late delivery,242.9,1
RET-900511,ORD-504799,2026-05-10,Quality issue,132.96,0
RET-900512,ORD-504817,2026-05-21,Late delivery,36.87,1
RET-900513,ORD-504818,2026-05-18,Wrong item,32.71,1
RET-900514,ORD-504824,2026-05-17,Damaged,41.77,1
RET-900515,ORD-504835,2026-05-27,Wrong item,283.63,0
RET-900516,ORD-504847,2026-05-10,Late delivery,425.04,0
RET-900517,ORD-504860,2026-05-13,Quality issue,180.04,1
RET-900518,ORD-504876,2026-05-20,Late delivery,140.34,1
RET-900519,ORD-504887,2026-05-12,Late delivery,116.03,1
RET-900520,ORD-504889,2026-05-26,Damaged,171.34,1
RET-900521,ORD-504896,2026-05-11,Wrong item,235.43,1
RET-900522,ORD-504909,2026-05-18,Changed mind,116.46,1
RET-900523,ORD-504916,2026-05-27,Wrong item,167.09,1
RET-900524,ORD-504941,2026-05-20,Wrong item,108.49,0
RET-900525,ORD-504946,2026-05-13,Quality issue,153.87,0
RET-900526,ORD-504952,2026-05-12,Quality issue,98.38,1
RET-900527,ORD-504953,2026-05-23,Changed mind,503.62,1
RET-900528,ORD-504960,2026-05-27,Quality issue,73.69,0
RET-900529,ORD-504972,2026-05-11,Changed mind,25.91,1
RET-900530,ORD-504975,2026-05-29,Wrong item,316.57,1
RET-900531,ORD-504985,2026-05-24,Late delivery,191.15,1
RET-900532,ORD-505017,2026-05-19,Damaged,128.63,1
RET-900533,ORD-505018,2026-05-21,Quality issue,229.42,0
RET-900534,ORD-505025,2026-05-30,Late delivery,180.94,0
RET-900535,ORD-505030,2026-05-17,Late delivery,352.83,1
RET-900536,ORD-505043,2026-05-20,Late delivery,172.24,1
RET-900537,ORD-505049,2026-05-22,Damaged,99.18,1
RET-900538,ORD-505055,2026-06-03,Late delivery,175.55,1
RET-900539,ORD-505056,2026-05-19,Wrong item,106.05,0
RET-900540,ORD-505070,2026-05-30,Late delivery,64.07,1
RET-900541,ORD-505074,2026-05-20,Wrong item,143.5,1
RET-900542,ORD-505083,2026-05-19,Quality issue,430.6,0
RET-900543,ORD-505093,2026-05-24,Quality issue,92.78,1
RET-900544,ORD-505101,2026-05-16,Changed mind,76.23,1
RET-900545,ORD-505116,2026-05-20,Wrong item,197.97,1
RET-900546,ORD-505132,2026-05-25,Changed mind,503.94,0
RET-900547,ORD-505136,2026-06-01,Changed mind,64.94,0
RET-900548,ORD-505140,2026-05-21,Wrong item,188.19,0
RET-900549,ORD-505144,2026-05-18,Quality issue,132.51,1
RET-900550,ORD-505153,2026-05-19,Changed mind,108.28,0
RET-900551,ORD-505154,2026-05-17,Late delivery,355.0,1
RET-900552,ORD-505170,2026-05-21,Changed mind,51.31,1
RET-900553,ORD-505173,2026-05-26,Quality issue,113.53,1
RET-900554,ORD-505175,2026-05-21,Quality issue,155.64,0
RET-900555,ORD-505214,2026-05-22,Wrong item,123.72,1
RET-900556,ORD-505221,2026-05-24,Wrong item,126.61,1
RET-900557,ORD-505233,2026-05-26,Changed mind,208.97,1
RET-900558,ORD-505239,2026-05-21,Quality issue,119.73,1
RET-900559,ORD-505254,2026-05-23,Late delivery,157.73,1
RET-900560,ORD-505262,2026-06-06,Late delivery,133.12,1
RET-900561,ORD-505266,2026-05-28,Changed mind,87.61,1
RET-900562,ORD-505275,2026-05-31,Late delivery,194.72,1
RET-900563,ORD-505279,2026-05-26,Damaged,66.7,1
RET-900564,ORD-505293,2026-06-01,Quality issue,58.61,1
RET-900565,ORD-505301,2026-06-03,Late delivery,117.47,0
RET-900566,ORD-505313,2026-06-04,Quality issue,505.45,0
RET-900567,ORD-505322,2026-05-20,Quality issue,88.71,1
RET-900568,ORD-505324,2026-06-05,Damaged,26.53,1
RET-900569,ORD-505326,2026-05-27,Wrong item,68.53,0
RET-900570,ORD-505332,2026-05-28,Late delivery,92.17,1
RET-900571,ORD-505359,2026-05-23,Wrong item,74.76,1
RET-900572,ORD-505386,2026-05-27,Late delivery,227.58,1
RET-900573,ORD-505388,2026-05-29,Quality issue,205.99,1
RET-900574,ORD-505394,2026-05-21,Late delivery,488.85,1
RET-900575,ORD-505399,2026-06-08,Late delivery,115.03,1
RET-900576,ORD-505408,2026-05-23,Quality issue,106.04,0
RET-900577,ORD-505433,2026-06-08,Wrong item,28.56,0
RET-900578,ORD-505434,2026-06-02,Damaged,121.85,1
RET-900579,ORD-505446,2026-06-13,Changed mind,86.67,1
RET-900580,ORD-505454,2026-05-28,Wrong item,118.69,1
RET-900581,ORD-505457,2026-06-12,Quality issue,146.81,1
RET-900582,ORD-505461,2026-05-27,Wrong item,115.74,0
RET-900583,ORD-505465,2026-06-12,Changed mind,26.36,0
RET-900584,ORD-505479,2026-06-13,Damaged,397.95,0
RET-900585,ORD-505485,2026-05-27,Changed mind,191.11,1
RET-900586,ORD-505486,2026-06-08,Changed mind,187.14,0
RET-900587,ORD-505494,2026-06-10,Damaged,23.16,1
RET-900588,ORD-505495,2026-05-30,Wrong item,184.23,1
RET-900589,ORD-505498,2026-05-30,Quality issue,85.61,1
RET-900590,ORD-505513,2026-05-26,Quality issue,48.73,1
RET-900591,ORD-505515,2026-05-26,Late delivery,412.83,1
RET-900592,ORD-505520,2026-06-03,Damaged,106.84,1
RET-900593,ORD-505529,2026-05-23,Changed mind,169.38,1
RET-900594,ORD-505539,2026-06-10,Quality issue,213.59,1
RET-900595,ORD-505553,2026-05-29,Quality issue,34.07,1
RET-900596,ORD-505559,2026-06-09,Late delivery,74.55,1
RET-900597,ORD-505569,2026-06-05,Damaged,66.78,1
RET-900598,ORD-505573,2026-05-23,Late delivery,212.11,1
RET-900599,ORD-505580,2026-05-25,Quality issue,71.59,1
RET-900600,ORD-505620,2026-06-16,Damaged,66.64,1
RET-900601,ORD-505623,2026-06-01,Damaged,66.0,1
RET-900602,ORD-505628,2026-06-02,Late delivery,242.61,1
RET-900603,ORD-505629,2026-05-27,Damaged,173.04,1
RET-900604,ORD-505635,2026-06-10,Changed mind,32.23,1
RET-900605,ORD-505652,2026-05-29,Wrong item,88.61,0
RET-900606,ORD-505671,2026-06-10,Wrong item,345.32,0
RET-900607,ORD-505687,2026-06-05,Changed mind,183.47,1
RET-900608,ORD-505691,2026-06-07,Late delivery,132.97,0
RET-900609,ORD-505714,2026-06-06,Late delivery,358.08,1
RET-900610,ORD-505726,2026-06-15,Late delivery,186.76,1
RET-900611,ORD-505734,2026-06-06,Changed mind,586.66,0
RET-900612,ORD-505750,2026-06-10,Quality issue,131.58,1
RET-900613,ORD-505754,2026-06-13,Damaged,137.39,1
RET-900614,ORD-505778,2026-06-14,Changed mind,122.26,1
RET-900615,ORD-505788,2026-06-09,Damaged,130.88,0
RET-900616,ORD-505799,2026-06-04,Quality issue,131.11,1
RET-900617,ORD-505807,2026-06-14,Late delivery,72.76,1
RET-900618,ORD-505809,2026-06-16,Damaged,156.59,1
RET-900619,ORD-505817,2026-06-05,Damaged,74.71,0
RET-900620,ORD-505825,2026-06-16,Quality issue,30.09,1
RET-900621,ORD-505828,2026-06-13,Changed mind,435.82,0
RET-900622,ORD-505833,2026-06-14,Changed mind,140.24,1
RET-900623,ORD-505843,2026-06-09,Late delivery,181.9,1
RET-900624,ORD-505845,2026-06-17,Wrong item,457.41,1
RET-900625,ORD-505850,2026-06-11,Late delivery,169.85,0
RET-900626,ORD-505852,2026-06-21,Damaged,293.75,1
RET-900627,ORD-505853,2026-06-15,Wrong item,121.32,1
RET-900628,ORD-505855,2026-06-02,Changed mind,455.56,1
RET-900629,ORD-505864,2026-06-04,Damaged,284.08,1
RET-900630,ORD-505866,2026-06-18,Changed mind,642.1,1
RET-900631,ORD-505881,2026-06-07,Changed mind,122.35,1
RET-900632,ORD-505891,2026-06-13,Damaged,159.61,1
RET-900633,ORD-505893,2026-06-10,Changed mind,108.24,1
RET-900634,ORD-505899,2026-06-04,Quality issue,111.21,1
RET-900635,ORD-505912,2026-06-06,Damaged,102.88,0
RET-900636,ORD-505913,2026-06-07,Quality issue,175.35,0
RET-900637,ORD-505930,2026-06-07,Quality issue,381.44,1
RET-900638,ORD-505934,2026-06-06,Damaged,123.08,1
RET-900639,ORD-505967,2026-06-10,Wrong item,150.07,1
RET-900640,ORD-505969,2026-06-10,Damaged,77.86,1
RET-900641,ORD-505971,2026-06-14,Changed mind,93.08,1
RET-900642,ORD-505975,2026-06-06,Damaged,31.81,1
RET-900643,ORD-505976,2026-06-11,Late delivery,166.71,1
RET-900644,ORD-506002,2026-06-23,Late delivery,234.34,1
RET-900645,ORD-506016,2026-06-24,Quality issue,33.51,1
RET-900646,ORD-506049,2026-06-19,Quality issue,441.22,1
RET-900647,ORD-506071,2026-06-26,Quality issue,92.67,0
RET-900648,ORD-506072,2026-06-17,Changed mind,125.14,0
RET-900649,ORD-506088,2026-06-28,Quality issue,400.31,1
RET-900650,ORD-506091,2026-06-11,Wrong item,210.27,0
RET-900651,ORD-506098,2026-06-13,Changed mind,105.21,1
RET-900652,ORD-506110,2026-06-10,Quality issue,157.17,0
RET-900653,ORD-506116,2026-06-18,Changed mind,33.0,1
RET-900654,ORD-506141,2026-06-29,Changed mind,160.38,1
RET-900655,ORD-506150,2026-06-26,Wrong item,91.45,1
RET-900656,ORD-506152,2026-06-22,Wrong item,143.76,1
RET-900657,ORD-506163,2026-06-12,Damaged,350.33,1
RET-900658,ORD-506167,2026-06-18,Damaged,153.88,1
RET-900659,ORD-506173,2026-06-14,Quality issue,142.06,1
RET-900660,ORD-506181,2026-06-24,Changed mind,112.68,1
RET-900661,ORD-506182,2026-07-01,Quality issue,31.06,1
RET-900662,ORD-506186,2026-06-20,Changed mind,224.96,1
RET-900663,ORD-506194,2026-06-19,Quality issue,28.52,0
RET-900664,ORD-506227,2026-07-06,Wrong item,191.33,1
RET-900665,ORD-506231,2026-06-16,Late delivery,148.87,1
RET-900666,ORD-506232,2026-06-29,Changed mind,228.67,1
RET-900667,ORD-506238,2026-06-17,Quality issue,311.8,0
RET-900668,ORD-506246,2026-06-21,Quality issue,120.55,1
RET-900669,ORD-506252,2026-06-20,Changed mind,400.59,0
RET-900670,ORD-506258,2026-06-25,Damaged,114.63,1
RET-900671,ORD-506279,2026-06-26,Damaged,141.94,0
RET-900672,ORD-506291,2026-07-02,Changed mind,63.01,0
RET-900673,ORD-506305,2026-06-22,Changed mind,27.77,1
RET-900674,ORD-506325,2026-06-22,Quality issue,122.32,1
RET-900675,ORD-506343,2026-06-29,Changed mind,152.91,1
RET-900676,ORD-506358,2026-07-02,Quality issue,78.58,0
RET-900677,ORD-506373,2026-06-20,Damaged,62.1,1
RET-900678,ORD-506382,2026-06-29,Late delivery,205.78,1
RET-900679,ORD-506409,2026-06-22,Quality issue,76.75,0
RET-900680,ORD-506418,2026-06-21,Late delivery,238.24,1
RET-900681,ORD-506434,2026-06-26,Late delivery,213.06,1
RET-900682,ORD-506436,2026-06-30,Quality issue,294.24,1
RET-900683,ORD-506442,2026-06-23,Quality issue,58.12,0
RET-900684,ORD-506447,2026-06-27,Quality issue,159.85,1
RET-900685,ORD-506448,2026-07-01,Late delivery,169.79,1
RET-900686,ORD-506470,2026-07-04,Wrong item,158.16,1
RET-900687,ORD-506471,2026-07-05,Wrong item,150.78,1
RET-900688,ORD-506481,2026-07-02,Damaged,104.3,1
RET-900689,ORD-506484,2026-06-20,Late delivery,202.34,1
RET-900690,ORD-506485,2026-06-30,Changed mind,334.66,1
RET-900691,ORD-506487,2026-06-18,Quality issue,334.94,1
RET-900692,ORD-506497,2026-07-03,Quality issue,220.64,0
RET-900693,ORD-506498,2026-06-30,Quality issue,99.56,1
RET-900694,ORD-506515,2026-06-26,Late delivery,130.89,1
RET-900695,ORD-506533,2026-06-19,Quality issue,160.01,1
RET-900696,ORD-506540,2026-07-04,Damaged,170.22,1
RET-900697,ORD-506550,2026-06-17,Late delivery,119.71,1
RET-900698,ORD-506553,2026-06-29,Late delivery,30.26,1
RET-900699,ORD-506560,2026-06-29,Wrong item,212.02,1
RET-900700,ORD-506563,2026-06-24,Wrong item,52.1,1
RET-900701,ORD-506567,2026-06-24,Late delivery,205.53,0
RET-900702,ORD-506585,2026-06-30,Changed mind,449.26,0
RET-900703,ORD-506587,2026-06-19,Quality issue,119.53,1
RET-900704,ORD-506588,2026-07-03,Late delivery,77.0,1
RET-900705,ORD-506597,2026-07-01,Quality issue,376.38,1
RET-900706,ORD-506606,2026-07-08,Late delivery,28.55,1
RET-900707,ORD-506618,2026-06-23,Changed mind,183.43,1
RET-900708,ORD-506624,2026-06-23,Late delivery,196.52,0
RET-900709,ORD-506628,2026-07-07,Wrong item,231.46,1
RET-900710,ORD-506629,2026-06-25,Wrong item,73.49,1
RET-900711,ORD-506636,2026-06-28,Late delivery,278.26,1
RET-900712,ORD-506644,2026-06-24,Wrong item,288.1,1
RET-900713,ORD-506656,2026-07-04,Damaged,30.18,1
RET-900714,ORD-506660,2026-07-02,Damaged,95.78,1
RET-900715,ORD-506662,2026-06-25,Damaged,679.88,1
RET-900716,ORD-506664,2026-07-08,Damaged,186.12,1
RET-900717,ORD-506668,2026-06-29,Changed mind,131.54,1
RET-900718,ORD-506670,2026-07-11,Damaged,114.94,1
RET-900719,ORD-506671,2026-07-08,Wrong item,128.86,1
RET-900720,ORD-506680,2026-06-23,Quality issue,60.39,1
RET-900721,ORD-506687,2026-06-30,Damaged,174.14,1
RET-900722,ORD-506691,2026-06-23,Damaged,91.85,1
RET-900723,ORD-506693,2026-07-11,Late delivery,149.51,1
RET-900724,ORD-506697,2026-07-07,Changed mind,162.09,0
RET-900725,ORD-506706,2026-07-06,Quality issue,101.02,1
RET-900726,ORD-506713,2026-07-04,Wrong item,33.87,1
RET-900727,ORD-506716,2026-06-23,Changed mind,93.17,1
RET-900728,ORD-506729,2026-07-13,Wrong item,120.61,1
RET-900729,ORD-506757,2026-07-06,Quality issue,108.95,1
RET-900730,ORD-506762,2026-06-29,Damaged,206.32,1
RET-900731,ORD-506763,2026-07-13,Late delivery,229.38,1
RET-900732,ORD-506767,2026-07-01,Quality issue,245.4,1
RET-900733,ORD-506768,2026-07-04,Wrong item,182.5,1
RET-900734,ORD-506770,2026-07-05,Quality issue,98.29,1
RET-900735,ORD-506777,2026-07-03,Late delivery,179.21,0
RET-900736,ORD-506793,2026-07-08,Late delivery,406.24,0
RET-900737,ORD-506800,2026-07-13,Damaged,153.75,1
RET-900738,ORD-506809,2026-07-10,Damaged,109.35,0
RET-900739,ORD-506811,2026-07-13,Damaged,168.2,0
RET-900740,ORD-506812,2026-07-13,Quality issue,363.78,1
RET-900741,ORD-506822,2026-07-14,Late delivery,273.22,1
RET-900742,ORD-506826,2026-07-08,Wrong item,803.72,1
RET-900743,ORD-506833,2026-07-01,Late delivery,127.06,0
RET-900744,ORD-506848,2026-07-08,Damaged,99.27,1
RET-900745,ORD-506857,2026-07-04,Quality issue,57.4,1
RET-900746,ORD-506868,2026-07-14,Wrong item,703.72,1
RET-900747,ORD-506881,2026-07-09,Late delivery,462.32,1
RET-900748,ORD-506884,2026-07-10,Damaged,58.34,0
RET-900749,ORD-506914,2026-07-08,Damaged,420.98,0
RET-900750,ORD-506926,2026-07-19,Changed mind,82.07,1
RET-900751,ORD-506930,2026-07-03,Late delivery,104.34,1
RET-900752,ORD-506937,2026-07-18,Damaged,23.48,0
RET-900753,ORD-506939,2026-07-08,Wrong item,63.4,1
RET-900754,ORD-506944,2026-07-19,Wrong item,311.25,1
RET-900755,ORD-506968,2026-07-06,Late delivery,355.45,0
RET-900756,ORD-506970,2026-07-09,Late delivery,202.2,1
RET-900757,ORD-506973,2026-07-19,Late delivery,372.64,0
RET-900758,ORD-506984,2026-07-09,Quality issue,85.89,1
RET-900759,ORD-506985,2026-07-07,Damaged,65.99,1
RET-900760,ORD-506988,2026-07-17,Late delivery,308.47,1
RET-900761,ORD-506991,2026-07-04,Damaged,205.79,0
RET-900762,ORD-506998,2026-07-04,Wrong item,76.69,0
RET-900763,ORD-507004,2026-07-09,Quality issue,248.48,1
RET-900764,ORD-507018,2026-07-10,Wrong item,79.84,0
RET-900765,ORD-507028,2026-07-20,Damaged,78.18,0
RET-900766,ORD-507044,2026-07-10,Quality issue,226.56,1
RET-900767,ORD-507049,2026-07-20,Damaged,274.97,1
RET-900768,ORD-507053,2026-07-09,Late delivery,80.42,1
RET-900769,ORD-507057,2026-07-03,Wrong item,62.49,1
RET-900770,ORD-507058,2026-07-16,Late delivery,225.91,0
RET-900771,ORD-507096,2026-07-10,Wrong item,213.55,1
RET-900772,ORD-507104,2026-07-23,Changed mind,128.1,1
RET-900773,ORD-507118,2026-07-19,Late delivery,178.52,0
RET-900774,ORD-507155,2026-07-17,Changed mind,55.95,1
RET-900775,ORD-507161,2026-07-13,Quality issue,242.12,1
RET-900776,ORD-507173,2026-07-09,Damaged,215.09,1
RET-900777,ORD-507181,2026-07-11,Quality issue,198.86,1
RET-900778,ORD-507187,2026-07-23,Quality issue,222.6,1
RET-900779,ORD-507190,2026-07-13,Changed mind,99.01,1
RET-900780,ORD-507194,2026-07-15,Wrong item,32.6,0
RET-900781,ORD-507201,2026-07-12,Quality issue,96.27,0
RET-900782,ORD-507211,2026-07-24,Quality issue,196.75,1
RET-900783,ORD-507215,2026-07-24,Late delivery,173.98,1
RET-900784,ORD-507218,2026-07-07,Wrong item,279.44,1
RET-900785,ORD-507223,2026-07-12,Quality issue,97.03,0
